Day,Trick,Success,Interval,considerations
1,fast accel 3,0,8,
1,fastaccel 3,1,8,
1,wall jump,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 5,NA,8,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,1,4,
1,lightning,1,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,1,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,1,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,1,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,1,4,
1,lightning,1,4,
1,blant,1,6,
1,bullet bill,1,6,
1,blant,1,6,
1,bullet bill,0,6,
1,blant,1,6,
1,bullet bill,0,6,
1,blant,1,6,
1,bullet bill,0,6,
1,blant,0,6,
1,blant,0,6,
1,blant,1,6,
1,bullet bill,0,6,
1,blant,0,6,
1,blant,0,6,
1,blant,1,6,
1,bullet bill,1,6,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,1,4,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,best enter ***
1,fast accel 4,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,0,8,
1,fast accel 4,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 3,0,8,
1,fast accel 3,1,8,
1,wall jump,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 3,1,8,
1,wall jump,0,8,
1,fast accel 3,0,8,
1,fast accel 3,1,8,
1,wall jump,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 5,NA,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,lightning,0,4,
1,lightning,1,4,
1,lightning,1,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,1,4,
1,blant,1,6,
1,bullet bill,1,6,
1,fast accel 3,1,8,
1,wall jump,1,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,***perfect attempt around 20:30
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,lightning,0,4,
1,lightning,1,4,
1,lightning,1,4,
1,lightning,0,4,
1,lightning,0,4,
1,fast accel 3,1,8,
1,wall jump,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,lightning,0,4,
1,lightning,1,4,
1,lightning,1,4,
1,fast accel 1,0,5,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,1,4,
1,lightning,1,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,1,4,
1,fast accel 1,1,5,
1,flagpole 3,1,5,
1,blant,1,6,
1,bullet bill,1,6,
1,flagpole 4,1,7,
1,fast accel 2,1,8,
1,fast accel 3,1,8,
1,wall jump,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 3,1,8,
1,wall jump,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,lightning,0,4,
1,lightning,1,4,
1,fast accel 1,1,5,
1,flagpole 3,1,5,
1,blant,1,6,
1,bullet bill,1,6,
1,flagpole 4,1,7,
1,fast accel 2,1,8,
1,fast accel 3,1,8,
1,wall jump,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,0,8,
1,fast accel 4,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,1,4,
1,fast accel 1,1,5,
1,flagpole 3,1,5,
1,blant,1,6,
1,bullet bill,1,6,
1,flagpole 4,1,7,
1,fast accel 2,1,8,
1,fast accel 3,1,8,
1,wall jump,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,1,4,
1,fast accel ,1,5,
1,flagpole 3,1,5,
1,blant,1,6,
1,bullet bill,1,6,
1,flagpole 4,0,7,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,1,4,
1,fast accel 1,1,5,
1,flagpole 3,1,5,
1,blant,0,6,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,fast accel 3,1,8,
1,wall jump,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 3,1,8,
1,wall jump,1,8,
1,fast accel 4,0,8,
1,fast accel 3,1,8,
1,wall jump,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,lightning,1,4,
1,fast accel 1,0,5,
1,lightning,0,4,
1,lightning,1,4,
1,fast accel 1,1,5,
1,flagpole 3,1,5,
1,blant,1,6,
1,bullet bill,1,6,
1,flagpole 4,1,7,
1,fast accel 2,1,8,
1,fast accel 3,1,8,
1,wall jump,0,8,
1,fast accel 3,0,8,
1,fast accel 3,1,8,
1,wall jump,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,0,8,
1,fast accel 4,0,8,
1,fast accel 4,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 3,1,8,
1,wall jump,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,blant,1,6,
1,blant,0,6,
1,blant,1,6,
1,blant,1,6,
1,blant,1,6,
1,lightning,1,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,1,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,1,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,1,4,
1,lightning,1,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,1,4,
1,lightning,1,4,
1,lightning,1,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,1,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,0,4,
1,lightning,1,4,
1,fast accel 3,1,8,
1,wall jump,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,lightning,1,4,
1,fast accel 3,1,8,
1,wall jump,0,8,
1,fast accel 3,0,8,
1,fast accel 3,0,8,
1,fast accel 3,1,8,
1,wall jump,0,8,1:27:46?
1,fast accel 3,1,8,
1,wall jump,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 4,1,8,
1,enter pipe,0,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,fast accel 3,1,8,
1,wall jump,1,8,
1,fast accel 4,1,8,
1,enter pipe,1,8,
1,lightning,0,8,
1,lightning,1,8,
1,lightning,0,8,
1,lightning,0,8,
1,lightning,0,8,
1,lightning,0,8,
1,lightning,1,8,
1,lightning,0,8,
1,lightning,0,8,
1,lightning,0,8,
1,lightning,0,8,
1,lightning,0,8,
1,lightning,0,8,
1,lightning,0,8,
1,lightning,0,8,
1,lightning,0,8,
1,lightning,0,8,
1,lightning,1,8,runs start 1:31:55
2,lightning,0,4,
2,lightning,1,4,
2,fast accel 1,1,5,?3:44
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,1,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,1,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,1,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,1,4,
2,fast accel 1,1,5,part 1 13:13?
2,fast accel 3,1,8,
2,wall jump,1,8,
2,fast accel 4,1,8,
2,enter pipe,0,8,
2,fast accel 3,1,8,
2,wall jump,1,8,
2,fast accel 4,1,8,
2,enter pipe,0,8,
2,fast accel 4,1,8,
2,enter pipe,1,8,
2,fast accel 4,1,8,
2,enter pipe,0,8,
2,fast accel 4,1,8,
2,enter pipe,1,8,
2,fast accel 4,1,8,
2,enter pipe,0,8,
2,fast accel 4,1,8,
2,enter pipe,1,8,
2,lightning,0,4,
2,lightning,1,4,
2,fast accel 3,1,8,16:22?
2,wall jump,0,8,
2,fast accel 3,0,8,
2,fast accel 3,0,8,
2,fast accel 3,1,8,
2,wall jump,1,8,
2,fast accel 4,1,8,
2,enter pipe,0,8,
2,fast accel 3,1,8,
2,wall jump,1,8,
2,fast accel 4,1,8,
2,enter pipe,0,8,
2,fast accel 4,1,8,
2,enter pipe,1,8,
2,fast accel 4,0,8,
2,fast accel 4,1,8,
2,enter pipe,1,8,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,0,4,
2,lightning,1,4,
2,fast accel 3,1,8,
2,wall jump,1,8,18:23
2,fast accel 3,1,8,
2,wall jump,1,8,
2,fast accel 4,1,8,
2,enter pipe,0,8,
2,fast accel 3,1,8,
2,wall jump,1,8,
2,fast accel 4,0,8,
2,fast accel 3,1,8,
2,wall jump,0,8,18:51?
2,fast accel 3,1,8,
2,wall jump,1,8,
2,fast accel 4,0,8,
2,fast accel 3,1,8,
2,wall jump,1,8,
2,fast accel 4,1,8,
2,enter pipe,0,8,
2,fast accel 4,1,8,
2,enter pipe,0,8,
2,fast accel 4,1,8,
2,enter pipe,0,8,
2,fast accel 4,1,8,
2,enter pipe,1,8,
2,fast accel 4,1,8,
2,enter pipe,0,8,
2,fast accel 4,1,8,
2,enter pipe,1,8,
2,fast accel 4,1,8,
2,enter pipe,1,8,
2,lightning,1,4,
2,fast accel 3,0,8,
2,fast accel 3,1,8,
2,wall jump,1,8,
2,fast accel 4,0,8,
2,fast accel 3,1,8,
2,wall jump,1,8,
2,fast accel 4,1,8,
2,enter pipe,0,8,
2,fast accel 4,1,8,
2,enter pipe,1,8,
2,fast accel 4,0,8,
2,fast accel 4,1,8,
2,enter pipe,0,8,
2,fast accel 3,1,8,
2,wall jump,1,8,
2,fast accel 4,1,8,
2,enter pipe,0,8,
2,fast accel 4,1,8,
2,enter pipe,1,8,
2,fast accel 4,1,8,
2,enter pipe,0,8,22:10?
2,fast accel 4,1,8,
2,enter pipe,0,8,
2,fast accel 4,0,8,
2,fast accel 4,1,8,
2,enter pipe,1,8,
2,fast accel 4,1,8,
2,enter pipe,1,8,
2,fast accel 4,1,8,
2,enter pipe,0,8,
2,fast accel 4,0,8,
2,fast accel 4,0,8,
2,fast accel 4,1,8,
2,enter pipe,1,8,
2,fast accel 4,0,8,
2,fast accel 4,0,8,
2,fast accel 4,1,8,
2,enter pipe,0,8,
2,fast accel 4,1,8,
2,enter pipe,1,8,
